               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.020711,           0.0047889,                   0,             0.99651,                   1,               0.995,             0.73355,            0.026076,           0.0038385,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.018052,           0.0046241,                   0,             0.99597,                   1,               0.995,             0.71911,             0.02357,           0.0038996,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.019463,           0.0052791,                   0,             0.99571,                   1,               0.995,             0.72923,            0.021822,           0.0038948,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.021742,           0.0071526,                   0,             0.99654,                   1,               0.995,             0.69599,            0.025251,           0.0038729,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.018242,           0.0056851,                   0,             0.99668,                   1,               0.995,             0.69045,            0.022134,           0.0039282,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.017261,           0.0052425,                   0,             0.99557,                   1,               0.995,             0.73821,            0.021734,           0.0038633,                   0,            0.005974,            0.005974,            0.005974
                 124,             0.02101,           0.0051749,                   0,             0.99549,                   1,               0.995,             0.72815,            0.022691,             0.00385,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.020777,           0.0059588,                   0,             0.99753,                   1,               0.995,             0.73723,            0.021596,           0.0038052,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.015987,            0.004242,                   0,             0.99576,                   1,               0.995,             0.73811,            0.021864,           0.0038576,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.016414,           0.0046109,                   0,             0.99259,                   1,               0.995,             0.73875,            0.021849,           0.0038071,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.016471,           0.0042236,                   0,             0.99489,                   1,               0.995,              0.7077,             0.02317,           0.0037746,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.017904,           0.0042827,                   0,             0.99641,                   1,               0.995,             0.76007,            0.023273,           0.0038319,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.018377,           0.0050293,                   0,             0.99646,                   1,               0.995,             0.76044,            0.021723,           0.0037785,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.021478,            0.005254,                   0,             0.99573,                   1,               0.995,             0.74358,             0.02166,           0.0038404,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.018649,           0.0048242,                   0,             0.99579,                   1,               0.995,             0.70292,            0.024065,           0.0038538,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.020005,           0.0060286,                   0,             0.99563,                   1,               0.995,             0.76227,            0.022717,           0.0038013,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.017497,            0.004582,                   0,               0.996,                   1,               0.995,              0.7654,             0.02325,           0.0035944,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.017564,           0.0044359,                   0,             0.99619,                   1,               0.995,             0.77138,            0.020732,           0.0036383,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.017694,           0.0048727,                   0,              0.9964,                   1,               0.995,             0.71528,            0.023123,           0.0036554,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.020906,           0.0051776,                   0,             0.99658,                   1,               0.995,             0.73637,            0.021933,           0.0036678,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.015282,           0.0041565,                   0,              0.9967,                   1,               0.995,             0.76156,            0.023061,           0.0035944,                   0,            0.005479,            0.005479,            0.005479
                 139,             0.01792,           0.0058966,                   0,             0.99693,                   1,               0.995,             0.78531,            0.021315,           0.0035601,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.019613,           0.0053411,                   0,              0.9968,                   1,               0.995,             0.75791,            0.021892,           0.0035887,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.019088,            0.004643,                   0,             0.99668,                   1,               0.995,             0.73847,            0.023123,           0.0035858,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.016329,           0.0049315,                   0,             0.99682,                   1,               0.995,             0.72394,            0.024556,           0.0036383,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.021563,           0.0053903,                   0,             0.99735,                   1,               0.995,             0.72321,            0.021728,           0.0036278,                   0,            0.005314,            0.005314,            0.005314
